method,method_label,baseline,metric,paired_unit,n_units,mean_delta,median_delta,ci95_low,ci95_high,wilcoxon_statistic,p_value_raw,cohen_dz,p_value_holm
rrf,RRF,average_single,recall@100,dataset-budget-seed,112,0.05175638647480923,0.04758547008547004,0.0472427543700016,0.05613468894101593,0.0,4.094884850204825e-20,2.1860394703001846,6.542690135204943e-19
rrf,RRF,best_single,recall@100,dataset-budget-seed,112,0.014069535507073069,0.010036420390387907,0.010749228755364338,0.017609166945050235,899.0,4.843998924582515e-11,0.7394495118893624,1.937599569833006e-10
zscore_fusion,Z-score fusion,bm25,ndcg@10,dataset-budget-seed,112,0.058661192406707786,0.04144511309752222,0.05241634813746477,0.06537992607731544,0.0,4.096357955947718e-20,1.6569182712895856,6.55211033727735e-19
zscore_fusion,Z-score fusion,dense,ndcg@10,dataset-budget-seed,112,0.02456408551149997,0.020397581140129656,0.01923250340578586,0.030171399160858186,541.0,2.6388800454060297e-14,0.8372396601076992,1.0555520181624119e-13
zscore_fusion,Z-score fusion,average_single,ndcg@10,dataset-budget-seed,112,0.04161263895910388,0.03641595722888896,0.03906471760685424,0.04414238072532535,0.0,4.096357955947718e-20,3.0480374706981026,6.55211033727735e-19
zscore_fusion,Z-score fusion,best_single,ndcg@10,dataset-budget-seed,112,0.018032875393701246,0.020397581140129656,0.014336754466077982,0.021594423435210293,541.0,2.6388800454060297e-14,0.9030918853163066,1.0555520181624119e-13
zscore_fusion,Z-score fusion,bm25,mrr@10,dataset-budget-seed,112,0.058447471018519374,0.03619868887726024,0.050576874403214185,0.06681934014271913,0.0,4.096357955947718e-20,1.3274867397943546,6.55211033727735e-19
zscore_fusion,Z-score fusion,dense,mrr@10,dataset-budget-seed,112,0.027316919640603923,0.020954082877205016,0.021298381320690254,0.03351112861892565,761.0,3.0323707329703355e-12,0.8186252599372996,1.2129482931881342e-11
zscore_fusion,Z-score fusion,average_single,mrr@10,dataset-budget-seed,112,0.04288219532956165,0.04274271033199617,0.03956773342426535,0.04611713967832315,0.0,4.096357955947718e-20,2.465425833645837,6.55211033727735e-19
zscore_fusion,Z-score fusion,best_single,mrr@10,dataset-budget-seed,112,0.017471413672648973,0.018696530935828376,0.013636091836983678,0.021323932651080846,809.0,8.094463498183212e-12,0.8264610286033921,2.4283390494549637e-11
zscore_fusion,Z-score fusion,bm25,recall@100,dataset-budget-seed,112,0.0865279200581687,0.06481134910682303,0.07640129409288102,0.09708324730781755,0.0,4.0937803523586947e-20,1.528281932108131,6.542690135204943e-19
zscore_fusion,Z-score fusion,dense,recall@100,dataset-budget-seed,112,0.011389260857739114,0.006156753251099115,0.00835768625778891,0.01478927940472525,927.0,5.009775532525102e-09,0.6428613873773306,1.0019551065050204e-08
zscore_fusion,Z-score fusion,average_single,recall@100,dataset-budget-seed,112,0.04895859045795391,0.04513432933393288,0.044185938176340714,0.05359902909374313,0.0,4.095068960798344e-20,1.92976013332134,6.542690135204943e-19
zscore_fusion,Z-score fusion,best_single,recall@100,dataset-budget-seed,112,0.011271739490217746,0.006156753251099115,0.008235147942414478,0.014610655236999668,927.0,5.009891219635649e-09,0.6460070799275398,1.0019551065050204e-08
minmax_fusion,Min-max fusion,bm25,ndcg@10,dataset-budget-seed,112,0.06007180815119321,0.0422760307842307,0.05360363152148544,0.06684952250310437,0.0,4.096357955947718e-20,1.6447274278091515,6.55211033727735e-19
minmax_fusion,Min-max fusion,dense,ndcg@10,dataset-budget-seed,112,0.02597470125598539,0.025098982792935154,0.021347761256011396,0.030692824376254722,405.0,1.1496136935961109e-15,1.0101619178600438,6.897682161576665e-15
minmax_fusion,Min-max fusion,average_single,ndcg@10,dataset-budget-seed,112,0.0430232547035893,0.039600656600108725,0.04092022404330161,0.045097986496096296,0.0,4.096357955947718e-20,3.819848592623898,6.55211033727735e-19
minmax_fusion,Min-max fusion,best_single,ndcg@10,dataset-budget-seed,112,0.019443491138186664,0.025098982792935154,0.016184816157874274,0.022428187429781307,405.0,1.1496136935961109e-15,1.1192574533965827,6.897682161576665e-15
minmax_fusion,Min-max fusion,bm25,mrr@10,dataset-budget-seed,112,0.06004139330900874,0.0369437474953391,0.05207673016435866,0.06833557969280736,0.0,4.096357955947718e-20,1.3554250863085149,6.55211033727735e-19
minmax_fusion,Min-max fusion,dense,mrr@10,dataset-budget-seed,112,0.028910841931093285,0.026273887100882548,0.023545455091905934,0.03444361497538302,494.0,9.092015436596446e-15,0.9455996527313999,5.4552092619578676e-14
minmax_fusion,Min-max fusion,average_single,mrr@10,dataset-budget-seed,112,0.044476117620051006,0.04312583580440721,0.0415375364792059,0.04724589750084606,0.0,4.096357955947718e-20,2.9649478627271324,6.55211033727735e-19
minmax_fusion,Min-max fusion,best_single,mrr@10,dataset-budget-seed,112,0.01906533596313834,0.023026019225838926,0.015513146691487721,0.02244614845261098,496.0,9.517310588962329e-15,0.9908157011807046,5.4552092619578676e-14
minmax_fusion,Min-max fusion,bm25,recall@100,dataset-budget-seed,112,0.08537174442023407,0.06092206366630071,0.074235059413949,0.0968978535654911,0.0,4.095805482095793e-20,1.3641338990351215,6.542690135204943e-19
minmax_fusion,Min-max fusion,dense,recall@100,dataset-budget-seed,112,0.010233085219804488,0.007860613841649378,0.00838869071179056,0.01223617263816495,63.0,9.389361076948614e-16,0.9951993717131298,7.511488861558891e-15
