dataset,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
nfcorpus,dense,28,0.3164239421025596,0.011477825663987607,0.5136132707051074,0.013398609081297634,0.26383128760828745,0.051784024347317936,9.58392150155319,,0.004227167134095837,-0.0027910052910053123,0.0007182102179023835,0.8571428571428571,Dense
nfcorpus,minmax_fusion,28,0.34321154983049246,0.011622446768563421,0.5509426627793975,0.010393691171491975,0.27597270391087647,0.049019302785474055,10.378871795672875,,0.031014774862028662,0.034538386783284726,-0.02606939751003044,3.9505030924077205,Min-max fusion
nfcorpus,rrf,28,0.3420916074755143,0.01165068156876143,0.5508007369614513,0.01014799059657849,0.27745207532914684,0.04579512833157206,10.378871795672875,,0.02989483250705052,0.03439646096533849,-0.024949455155052296,3.805707689687445,RRF
nfcorpus,validation_weighted_fusion,28,0.33883339863164974,0.011020978046843362,0.5496687047835007,0.01243305647472037,0.2709252489018795,0.05093084596483193,10.378871795672875,0.46071428571428574,0.026636623663185994,0.03326442878738795,-0.02169124631118777,3.44782414012248,Validation-weighted fusion
nfcorpus,zscore_fusion,28,0.3398302942053644,0.011206151260628553,0.5473641480401684,0.012296128130755316,0.2749693653962856,0.047355638842560076,10.378871795672875,,0.027633519236900595,0.030959872044055703,-0.022688141884902372,3.5713711477890677,Z-score fusion
scifact,bm25,28,0.6692321499101904,0.012246536710125202,0.6375216582359439,0.014124905735723798,0.8671947496947496,0.026011713815997248,5.8914951966774725,,0.012703315126646273,0.01673236816093961,0.0,1.0,BM25
scifact,dense,28,0.6438255196568979,0.015021179799189774,0.6040569219140648,0.0155670175343626,0.8942857142857142,0.0380655050263923,15.571033540012044,,-0.012703315126646242,-0.01673236816093956,0.025406630253292515,0.0,Dense
scifact,minmax_fusion,28,0.7055248039300349,0.014135240999461895,0.6743256148613291,0.016555324327479057,0.9178754578754579,0.035561777421242016,21.462528736689517,,0.048995969146490674,0.05353632478632479,-0.0362926540198444,2.8095254035919326,Min-max fusion
scifact,rrf,28,0.6921328226480357,0.014336372342085613,0.6511187423687425,0.016090197495690003,0.9352747252747253,0.02994735102802874,21.462528736689517,,0.0356039878644914,0.030329452293738013,-0.022900672737845126,2.1701548175272056,RRF
scifact,validation_weighted_fusion,28,0.7086766252107918,0.012284308712095852,0.6742721233792662,0.013422357967039543,0.9197802197802198,0.034304198253328415,21.462528736689517,0.5964285714285714,0.052147790427247535,0.053482833304261894,-0.03944447530060126,2.960634297799063,Validation-weighted fusion
scifact,zscore_fusion,28,0.7117023092563372,0.013945287932367535,0.6787944793301935,0.016353561356679706,0.9312454212454213,0.03137328205683726,21.462528736689517,,0.05517347447279294,0.05800518925518926,-0.04247015934614667,3.0600481996518183,Z-score fusion
