method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
bm25,112,0.3897451062409395,0.1673817421025563,0.41960159824759746,0.16692886639370141,0.6139887539170515,0.2976251885242442,64.89612033267576,,-0.017048553447603903,-0.015565275688957726,0.040628317013006544,0.2857142857142857,BM25
dense,112,0.42384221313614734,0.12977952681269708,0.4507321496255129,0.13331276032046513,0.6891274131174813,0.27970252476687885,22.446611394686048,,0.017048553447603913,0.015565275688957722,0.006531210117798725,0.7142857142857143,Dense
minmax_fusion,112,0.4498169143921327,0.14986950306614885,0.4796429915566062,0.15283495369601524,0.6993604983372856,0.2794090314739794,87.34273172736182,,0.0430232547035893,0.04447611762005101,-0.019443491138186664,2.442695324957454,Min-max fusion
rrf,112,0.442731811806285,0.14608762455818686,0.47030842957592967,0.14831721590361605,0.7033144699920756,0.28403847497721857,87.34273172736182,,0.03593815211774163,0.035141555639374496,-0.012358388552338992,2.157555435259244,RRF
validation_weighted_fusion,112,0.45802326418294576,0.14740067826823083,0.49025688293534175,0.1505933068243203,0.6984664369910345,0.2821410908285351,87.34273172736182,0.6669642857142858,0.05122960449440239,0.055090008998786556,-0.02764984092899975,2.4052794433349214,Validation-weighted fusion
zscore_fusion,112,0.4484062986476473,0.15412731409452807,0.47804906926611684,0.15580435380941537,0.7005166739752202,0.28275792427066376,87.34273172736182,,0.04161263895910388,0.04288219532956165,-0.018032875393701246,2.347806646067556,Z-score fusion
