budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
20,bm25,28,0.3897451062409395,0.16969056485291162,0.41960159824759746,0.1692314422874607,0.5514515853975428,0.29725466807253503,64.89612033267576,,-0.017048553447603903,-0.015565275688957726,0.040628317013006544,0.2857142857142857,BM25
20,dense,28,0.42384221313614734,0.13156967381601778,0.4507321496255129,0.13515164388132533,0.6128285953756109,0.2908421519512247,22.446611394686048,,0.017048553447603913,0.015565275688957722,0.006531210117798725,0.7142857142857143,Dense
20,minmax_fusion,28,0.4481740748461948,0.14959514950103403,0.4776330432990568,0.15445047971042833,0.6247733974354571,0.28942985387173165,87.34273172736182,,0.04138041515765139,0.042466169362501645,-0.01780065159224875,2.359878617564449,Min-max fusion
20,rrf,28,0.44383317936479216,0.15000739931679585,0.4713272705635294,0.15143228217093554,0.6350794013031321,0.29747444473647955,87.34273172736182,,0.03703951967624878,0.03616039662697421,-0.013459756110846143,2.184491909789494,RRF
20,validation_weighted_fusion,28,0.45309367957883456,0.149215857204999,0.48741790433641674,0.15305630673503032,0.6236371217953857,0.29435116223233926,87.34273172736182,0.6357142857142858,0.046300019890291165,0.05225103039986156,-0.022720256324888534,2.1860426737766026,Validation-weighted fusion
20,zscore_fusion,28,0.44864115969033486,0.15496041206097327,0.47817609409115075,0.1561326626827374,0.6297265916550584,0.2930905537409932,87.34273172736182,,0.041847500001791445,0.043009220154595525,-0.01826773643638881,2.29051533801683,Z-score fusion
50,bm25,28,0.3897451062409395,0.16969056485291162,0.41960159824759746,0.1692314422874607,0.6153571980636652,0.30489643898988916,64.89612033267576,,-0.017048553447603903,-0.015565275688957726,0.040628317013006544,0.2857142857142857,BM25
50,dense,28,0.42384221313614734,0.13156967381601778,0.4507321496255129,0.13515164388132533,0.6839449397780965,0.28715847322450283,22.446611394686048,,0.017048553447603913,0.015565275688957722,0.006531210117798725,0.7142857142857143,Dense
50,minmax_fusion,28,0.44997809595204724,0.1521665627677407,0.4797307598473543,0.15453704023005882,0.6952590479891348,0.2870759979461837,87.34273172736182,,0.04318443626350382,0.04456388591079913,-0.019604672698101185,2.3813751394689966,Min-max fusion
50,rrf,28,0.4427721570466735,0.1480242397142416,0.47074328252322845,0.15043404129729201,0.7005450928137534,0.2933018196500633,87.34273172736182,,0.03597849735813007,0.03557640858667323,-0.012398733792727434,2.1144612939560536,RRF
