dataset,budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
arguana,20,bm25,7,0.3473428490890847,0.004686520893366272,0.22795207728169933,0.0037294772534420474,0.8439705190528463,0.005857638522351633,194.65647224268483,,-0.011434929172431432,-0.00851612690447567,0.022869858344862857,0.0,BM25
arguana,20,dense,7,0.3702127074339476,0.004749115485262485,0.24498433109065063,0.004566777389629243,0.907480006272542,0.004284961900981457,5.835418617415995,,0.011434929172431425,0.008516126904475662,0.0,1.0,Dense
arguana,20,minmax_fusion,7,0.3896380609460205,0.003198679722766804,0.2605643794290493,0.0031328216435377618,0.907480006272542,0.004284961900981457,200.4918908601008,,0.03086028268450436,0.024096175242874326,-0.019425353512072936,1.87563452271465,Min-max fusion
arguana,20,rrf,7,0.3868347320984669,0.004843854701750798,0.25773638397913134,0.004338489154955729,0.9239454288850556,0.005253448919241906,200.4918908601008,,0.028056953836950733,0.021268179792956355,-0.01662202466451931,1.7512463818221673,RRF
arguana,20,validation_weighted_fusion,7,0.3872328912248148,0.006155093412705236,0.25823258685105943,0.005779769167867161,0.907480006272542,0.004284961900981457,200.4918908601008,0.7285714285714285,0.028455112963298636,0.02176438266488447,-0.01702018379086721,1.7504050728594682,Validation-weighted fusion
arguana,20,zscore_fusion,7,0.38872378906220845,0.003660627930828838,0.25931099113630085,0.003135448319337158,0.907480006272542,0.004284961900981457,200.4918908601008,,0.02994601080069224,0.022842786950125843,-0.018511081628260817,1.837217801446691,Z-score fusion
arguana,50,bm25,7,0.3473428490890847,0.004686520893366272,0.22795207728169933,0.0037294772534420474,0.9316292927708955,0.0036248473049157333,194.65647224268483,,-0.011434929172431432,-0.00851612690447567,0.022869858344862857,0.0,BM25
arguana,50,dense,7,0.3702127074339476,0.004749115485262485,0.24498433109065063,0.004566777389629243,0.9686372902618786,0.0034629412106113836,5.835418617415995,,0.011434929172431425,0.008516126904475662,0.0,1.0,Dense
arguana,50,minmax_fusion,7,0.39374969759792844,0.003945284726341826,0.2639356840431013,0.0035624576790183097,0.9686372902618786,0.0034629412106113836,200.4918908601008,,0.03497191933641232,0.027467479856926304,-0.023536990163980896,2.057135128978065,Min-max fusion
arguana,50,rrf,7,0.3864907656461338,0.004857237630285407,0.25780408760650253,0.004342357215985126,0.977262035439862,0.0037874070216374635,200.4918908601008,,0.027712987384617662,0.021335883420327547,-0.016278058212186235,1.7346942457904038,RRF
arguana,50,validation_weighted_fusion,7,0.3927928712253485,0.005192195503970206,0.26306406206829597,0.00467706828996523,0.9686372902618786,0.0034629412106113836,200.4918908601008,0.7142857142857143,0.034015092963832365,0.026595857882121016,-0.022580163791400938,2.0061172101095948,Validation-weighted fusion
arguana,50,zscore_fusion,7,0.38900488091691127,0.004154424465424673,0.2597966775440509,0.0036058276454249936,0.9702054257487847,0.004271550406735483,200.4918908601008,,0.030227102655395095,0.0233284733578759,-0.018792173482963668,1.851389706613602,Z-score fusion
arguana,100,bm25,7,0.3473428490890847,0.004686520893366272,0.22795207728169933,0.0037294772534420474,0.9540536302336522,0.005857638522351607,194.65647224268483,,-0.011434929172431432,-0.00851612690447567,0.022869858344862857,0.0,BM25
arguana,100,dense,7,0.3702127074339476,0.004749115485262485,0.24498433109065063,0.004566777389629243,0.9829073231927238,0.0016595586081635133,5.835418617415995,,0.011434929172431425,0.008516126904475662,0.0,1.0,Dense
arguana,100,minmax_fusion,7,0.39637300418171295,0.003951584257907215,0.2655684117774442,0.003580490301700322,0.9829073231927238,0.0016595586081635133,200.4918908601008,,0.03759522592019683,0.029100207591269224,-0.026160296747765408,2.1769924681701966,Min-max fusion
arguana,100,rrf,7,0.388042212861291,0.004997549755898361,0.25840533066501387,0.004391441703944468,0.987611729653442,0.0017602277184133343,200.4918908601008,,0.029264434599774854,0.021937126478838907,-0.01782950542734343,1.8036942437229802,RRF
arguana,100,validation_weighted_fusion,7,0.39661175725336895,0.0036491922507690903,0.2656608819890927,0.0033962097607533356,0.9829073231927238,0.0016595586081635133,200.4918908601008,0.7,0.037833978991852805,0.02919267780291773,-0.02639904981942138,2.1861815446260953,Validation-weighted fusion
arguana,100,zscore_fusion,7,0.38905871163359823,0.0037414362299937535,0.2589269846248049,0.0034254457170515987,0.9851027128743924,0.0017764513583154295,200.4918908601008,,0.030280933372082073,0.0224587804386299,-0.01884600419965065,1.855214332202659,Z-score fusion
arguana,200,bm25,7,0.3473428490890847,0.004686520893366272,0.22795207728169933,0.0037294772534420474,0.9540536302336522,0.005857638522351607,194.65647224268483,,-0.011434929172431432,-0.00851612690447567,0.022869858344862857,0.0,BM25
arguana,200,dense,7,0.3702127074339476,0.004749115485262485,0.24498433109065063,0.004566777389629243,0.9829073231927238,0.0016595586081635133,5.835418617415995,,0.011434929172431425,0.008516126904475662,0.0,1.0,Dense
arguana,200,minmax_fusion,7,0.396647980411901,0.00410034863035538,0.2655092955586918,0.0036045143614427066,0.9887094244942763,0.0018708410609140729,200.4918908601008,,0.03787020215038487,0.029041091372516818,-0.026435272977953443,2.1906883483385644,Min-max fusion
arguana,200,rrf,7,0.388042212861291,0.004997549755898361,0.25840533066501387,0.004391441703944468,0.9869844754586795,0.0021424809504907356,200.4918908601008,,0.029264434599774854,0.021937126478838907,-0.01782950542734343,1.8036942437229802,RRF
arguana,200,validation_weighted_fusion,7,0.39428522514147557,0.005736973275859151,0.26391956709504144,0.005036366685627052,0.9887094244942763,0.0018708410609140729,200.4918908601008,0.7,0.035507446879959395,0.02745136290886644,-0.024072517707527972,2.07957874080079,Validation-weighted fusion
arguana,200,zscore_fusion,7,0.389002033680058,0.0036867050611068247,0.2585870352531792,0.0034010775551158202,0.9888662380429668,0.0021424809504907,200.4918908601008,,0.03022425541854187,0.022118831067004206,-0.018789326246110443,1.85330902996974,Z-score fusion
