budget,dataset,dense_weight,latency_query_ms,method,mrr@10,ndcg@10,recall@100,seed,split,test_query_count,validation_mrr@10,validation_ndcg@10,validation_query_count,bm25_ndcg@10,dense_ndcg@10,average_single_ndcg@10,best_single_ndcg@10,worst_single_ndcg@10,bm25_mrr@10,dense_mrr@10,average_single_mrr@10,best_single_mrr@10,worst_single_mrr@10,bm25_recall@100,dense_recall@100,average_single_recall@100,best_single_recall@100,worst_single_recall@100,ndcg@10_delta_vs_average_single,ndcg@10_delta_vs_best_single,mrr@10_delta_vs_average_single,mrr@10_delta_vs_best_single,recall@100_delta_vs_average_single,recall@100_delta_vs_best_single,ndcg_regret_vs_best_single,average_single_ndcg_regret,worst_single_ndcg_regret,worst_case_regret_reduction
20,scifact,,5.8914951966774725,bm25,0.6407244607244608,0.6762632809912035,0.8328205128205128,19,test,195,,,105,0.6762632809912035,0.6673698109830799,0.6718165459871417,0.6762632809912035,0.6673698109830799,0.6407244607244608,0.6284452584452584,0.6345848595848596,0.6407244607244608,0.6284452584452584,0.8328205128205128,0.8605128205128205,0.8466666666666667,0.8605128205128205,0.8328205128205128,0.004446735004061786,0.0,0.006139601139601214,0.0,-0.013846153846153841,-0.027692307692307683,0.0,0.004446735004061786,0.008893470008123572,1.0
20,scifact,,15.571033540012044,dense,0.6284452584452584,0.6673698109830799,0.8605128205128205,19,test,195,,,105,0.6762632809912035,0.6673698109830799,0.6718165459871417,0.6762632809912035,0.6673698109830799,0.6407244607244608,0.6284452584452584,0.6345848595848596,0.6407244607244608,0.6284452584452584,0.8328205128205128,0.8605128205128205,0.8466666666666667,0.8605128205128205,0.8328205128205128,-0.004446735004061786,-0.008893470008123572,-0.006139601139601103,-0.012279202279202317,0.013846153846153841,0.0,0.008893470008123572,0.004446735004061786,0.008893470008123572,0.0
20,scifact,,21.46252873668952,rrf,0.6672100122100122,0.7118881504172755,0.8953846153846153,19,test,195,,,105,0.6762632809912035,0.6673698109830799,0.6718165459871417,0.6762632809912035,0.6673698109830799,0.6407244607244608,0.6284452584452584,0.6345848595848596,0.6407244607244608,0.6284452584452584,0.8328205128205128,0.8605128205128205,0.8466666666666667,0.8605128205128205,0.8328205128205128,0.0400716044301338,0.035624869426072014,0.03262515262515264,0.02648555148555143,0.048717948717948656,0.034871794871794815,-0.035624869426072014,0.004446735004061786,0.008893470008123572,5.005733351945995
20,scifact,,21.46252873668952,zscore_fusion,0.6845115995115996,0.7208313938662391,0.8902564102564102,19,test,195,,,105,0.6762632809912035,0.6673698109830799,0.6718165459871417,0.6762632809912035,0.6673698109830799,0.6407244607244608,0.6284452584452584,0.6345848595848596,0.6407244607244608,0.6284452584452584,0.8328205128205128,0.8605128205128205,0.8466666666666667,0.8605128205128205,0.8328205128205128,0.04901484787909738,0.04456811287503559,0.049926739926740016,0.0437871387871388,0.043589743589743546,0.029743589743589705,-0.04456811287503559,0.004446735004061786,0.008893470008123572,6.011329979673366
20,scifact,,21.46252873668952,minmax_fusion,0.6808587708587709,0.7155694172402042,0.8748717948717949,19,test,195,,,105,0.6762632809912035,0.6673698109830799,0.6718165459871417,0.6762632809912035,0.6673698109830799,0.6407244607244608,0.6284452584452584,0.6345848595848596,0.6407244607244608,0.6284452584452584,0.8328205128205128,0.8605128205128205,0.8466666666666667,0.8605128205128205,0.8328205128205128,0.043752871253062486,0.0393061362490007,0.04627391127391134,0.040134310134310125,0.028205128205128216,0.014358974358974375,-0.0393061362490007,0.004446735004061786,0.008893470008123572,5.419662540391687
20,scifact,0.5,21.46252873668952,validation_weighted_fusion,0.6845115995115996,0.7208313938662391,0.8902564102564102,19,test,195,0.6485525321239607,0.6787080574658708,105,0.6762632809912035,0.6673698109830799,0.6718165459871417,0.6762632809912035,0.6673698109830799,0.6407244607244608,0.6284452584452584,0.6345848595848596,0.6407244607244608,0.6284452584452584,0.8328205128205128,0.8605128205128205,0.8466666666666667,0.8605128205128205,0.8328205128205128,0.04901484787909738,0.04456811287503559,0.049926739926740016,0.0437871387871388,0.043589743589743546,0.029743589743589705,-0.04456811287503559,0.004446735004061786,0.008893470008123572,6.011329979673366
20,scifact,,5.8914951966774725,bm25,0.6317501017501017,0.6680093338221503,0.8312820512820512,31,test,195,,,105,0.6680093338221503,0.646947605594106,0.6574784697081282,0.6680093338221503,0.646947605594106,0.6317501017501017,0.6066076516076516,0.6191788766788766,0.6317501017501017,0.6066076516076516,0.8312820512820512,0.8471794871794871,0.8392307692307692,0.8471794871794871,0.8312820512820512,0.010530864114022154,0.0,0.0125712250712251,0.0,-0.007948717948717987,-0.015897435897435863,0.0,0.010530864114022154,0.021061728228044307,1.0
20,scifact,,15.571033540012044,dense,0.6066076516076516,0.646947605594106,0.8471794871794871,31,test,195,,,105,0.6680093338221503,0.646947605594106,0.6574784697081282,0.6680093338221503,0.646947605594106,0.6317501017501017,0.6066076516076516,0.6191788766788766,0.6317501017501017,0.6066076516076516,0.8312820512820512,0.8471794871794871,0.8392307692307692,0.8471794871794871,0.8312820512820512,-0.010530864114022154,-0.021061728228044307,-0.01257122507122499,-0.02514245014245009,0.007948717948717876,0.0,0.021061728228044307,0.010530864114022154,0.021061728228044307,0.0
20,scifact,,21.46252873668952,rrf,0.6544261294261294,0.6978161310035337,0.8897435897435897,31,test,195,,,105,0.6680093338221503,0.646947605594106,0.6574784697081282,0.6680093338221503,0.646947605594106,0.6317501017501017,0.6066076516076516,0.6191788766788766,0.6317501017501017,0.6066076516076516,0.8312820512820512,0.8471794871794871,0.8392307692307692,0.8471794871794871,0.8312820512820512,0.0403376612954055,0.02980679718138335,0.03524725274725282,0.02267602767602772,0.05051282051282047,0.04256410256410259,-0.02980679718138335,0.010530864114022154,0.021061728228044307,2.4152113662588586
20,scifact,,21.46252873668952,zscore_fusion,0.6770960520960521,0.7111013781701667,0.8897435897435897,31,test,195,,,105,0.6680093338221503,0.646947605594106,0.6574784697081282,0.6680093338221503,0.646947605594106,0.6317501017501017,0.6066076516076516,0.6191788766788766,0.6317501017501017,0.6066076516076516,0.8312820512820512,0.8471794871794871,0.8392307692307692,0.8471794871794871,0.8312820512820512,0.05362290846203854,0.04309204434801639,0.05791717541717545,0.04534595034595035,0.05051282051282047,0.04256410256410259,-0.04309204434801639,0.010530864114022154,0.021061728228044307,3.0459880538501145
