budget,dataset,dense_weight,latency_query_ms,method,mrr@10,ndcg@10,recall@100,seed,split,test_query_count,validation_mrr@10,validation_ndcg@10,validation_query_count
20,scifact,,5.8914951966774725,bm25,0.6407244607244608,0.6762632809912035,0.8328205128205128,19,test,195,,,105
20,scifact,,15.571033540012044,dense,0.6284452584452584,0.6673698109830799,0.8605128205128205,19,test,195,,,105
20,scifact,,21.462528736689517,rrf,0.6672100122100122,0.7118881504172755,0.8953846153846153,19,test,195,,,105
20,scifact,,21.462528736689517,zscore_fusion,0.6845115995115996,0.7208313938662391,0.8902564102564102,19,test,195,,,105
20,scifact,,21.462528736689517,minmax_fusion,0.6808587708587709,0.7155694172402042,0.8748717948717949,19,test,195,,,105
20,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6845115995115996,0.7208313938662391,0.8902564102564102,19,test,195,0.6485525321239607,0.6787080574658708,105
20,scifact,,5.8914951966774725,bm25,0.6317501017501017,0.6680093338221503,0.8312820512820512,31,test,195,,,105
20,scifact,,15.571033540012044,dense,0.6066076516076516,0.646947605594106,0.8471794871794871,31,test,195,,,105
20,scifact,,21.462528736689517,rrf,0.6544261294261294,0.6978161310035337,0.8897435897435897,31,test,195,,,105
20,scifact,,21.462528736689517,zscore_fusion,0.6770960520960521,0.7111013781701667,0.8897435897435897,31,test,195,,,105
20,scifact,,21.462528736689517,minmax_fusion,0.6664509564509564,0.6982031932431129,0.8692307692307693,31,test,195,,,105
20,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6770960520960521,0.7111013781701667,0.8897435897435897,31,test,195,0.6623242630385487,0.6967780866157194,105
20,scifact,,5.8914951966774725,bm25,0.642085877085877,0.6710462285952398,0.8261538461538461,47,test,195,,,105
20,scifact,,15.571033540012044,dense,0.613880748880749,0.650618204559322,0.824102564102564,47,test,195,,,105
20,scifact,,21.462528736689517,rrf,0.65999592999593,0.7020673664981616,0.9051282051282051,47,test,195,,,105
20,scifact,,21.462528736689517,zscore_fusion,0.6793610093610093,0.7134955138156344,0.8846153846153846,47,test,195,,,105
20,scifact,,21.462528736689517,minmax_fusion,0.6711945461945462,0.7013895073043548,0.8589743589743589,47,test,195,,,105
20,scifact,0.4,21.462528736689517,validation_weighted_fusion,0.6691208791208791,0.6957753154841163,0.8492307692307692,47,test,195,0.6721541950113379,0.697299151134803,105
20,scifact,,5.8914951966774725,bm25,0.612903947903948,0.6490266366394436,0.8112820512820512,73,test,195,,,105
20,scifact,,15.571033540012044,dense,0.5745909645909646,0.6146213928715087,0.8174358974358975,73,test,195,,,105
20,scifact,,21.462528736689517,rrf,0.6251872201872202,0.671572483395674,0.8815384615384616,73,test,195,,,105
20,scifact,,21.462528736689517,zscore_fusion,0.6438603988603988,0.6839613696995684,0.8712820512820513,73,test,195,,,105
20,scifact,,21.462528736689517,minmax_fusion,0.6378306878306879,0.6754952123465506,0.8558974358974359,73,test,195,,,105
20,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6438603988603988,0.6839613696995684,0.8712820512820513,73,test,195,0.724047619047619,0.7471809594896875,105
20,scifact,,5.8914951966774725,bm25,0.6305331705331706,0.6574570782604745,0.8105982905982906,109,test,195,,,105
20,scifact,,15.571033540012044,dense,0.5972059422059423,0.6367495721575601,0.8246153846153846,109,test,195,,,105
20,scifact,,21.462528736689517,rrf,0.6367643467643468,0.6767344065693756,0.8646153846153846,109,test,195,,,105
20,scifact,,21.462528736689517,zscore_fusion,0.6579324379324379,0.6897433864298617,0.8594871794871795,109,test,195,,,105
20,scifact,,21.462528736689517,minmax_fusion,0.6566015466015466,0.6864779355423405,0.8441025641025641,109,test,195,,,105
20,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6579324379324379,0.6897433864298617,0.8594871794871795,109,test,195,0.6979138321995465,0.7364429284191432,105
20,scifact,,5.8914951966774725,bm25,0.6426048026048026,0.673843206476677,0.8411111111111111,149,test,195,,,105
20,scifact,,15.571033540012044,dense,0.6071998371998373,0.6435197528003891,0.8369230769230769,149,test,195,,,105
20,scifact,,21.462528736689517,rrf,0.6651811151811152,0.7051411882674138,0.8871794871794871,149,test,195,,,105
20,scifact,,21.462528736689517,zscore_fusion,0.6868396418396419,0.7193034771369516,0.8871794871794871,149,test,195,,,105
20,scifact,,21.462528736689517,minmax_fusion,0.6788013838013839,0.7062795266560877,0.8615384615384616,149,test,195,,,105
20,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6868396418396419,0.7193034771369516,0.8871794871794871,149,test,195,0.6442290249433106,0.6815456171059758,105
20,scifact,,5.8914951966774725,bm25,0.6620492470492471,0.6889792845861449,0.8441025641025641,181,test,195,,,105
20,scifact,,15.571033540012044,dense,0.6004680504680504,0.6469522986323201,0.8497435897435897,181,test,195,,,105
20,scifact,,21.462528736689517,rrf,0.6733292633292634,0.7103088928087077,0.8923076923076924,181,test,195,,,105
20,scifact,,21.462528736689517,zscore_fusion,0.7012087912087912,0.7287155671184213,0.8871794871794871,181,test,195,,,105
20,scifact,,21.462528736689517,minmax_fusion,0.6943345543345543,0.7184853411343948,0.8717948717948718,181,test,195,,,105
20,scifact,0.8,21.462528736689517,validation_weighted_fusion,0.6728530728530729,0.7031432015158597,0.8497435897435897,181,test,195,0.6377324263038548,0.6687818904252736,105
50,scifact,,5.8914951966774725,bm25,0.6407244607244608,0.6762632809912035,0.875897435897436,19,test,195,,,105
50,scifact,,15.571033540012044,dense,0.6284452584452584,0.6673698109830799,0.9076923076923077,19,test,195,,,105
50,scifact,,21.462528736689517,rrf,0.6594790394790394,0.7005333812211172,0.9487179487179487,19,test,195,,,105
50,scifact,,21.462528736689517,zscore_fusion,0.6833251933251933,0.7169511764400233,0.9435897435897436,19,test,195,,,105
50,scifact,,21.462528736689517,minmax_fusion,0.6815364265364265,0.7134683551081094,0.9333333333333333,19,test,195,,,105
50,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6833251933251933,0.7169511764400233,0.9435897435897436,19,test,195,0.6587414965986395,0.6910505584717017,105
50,scifact,,5.8914951966774725,bm25,0.6317501017501017,0.6680093338221503,0.874102564102564,31,test,195,,,105
50,scifact,,15.571033540012044,dense,0.6066076516076516,0.646947605594106,0.9107692307692308,31,test,195,,,105
50,scifact,,21.462528736689517,rrf,0.6528266178266178,0.6954714742279182,0.9543589743589743,31,test,195,,,105
50,scifact,,21.462528736689517,zscore_fusion,0.6864448514448515,0.7214684542441183,0.9543589743589743,31,test,195,,,105
50,scifact,,21.462528736689517,minmax_fusion,0.6724277574277574,0.7065321036429627,0.938974358974359,31,test,195,,,105
50,scifact,0.6,21.462528736689517,validation_weighted_fusion,0.6744301994301994,0.7097892900032676,0.9364102564102564,31,test,195,0.6690022675736961,0.6990495195440191,105
50,scifact,,5.8914951966774725,bm25,0.642085877085877,0.6710462285952398,0.8664102564102564,47,test,195,,,105
50,scifact,,15.571033540012044,dense,0.613880748880749,0.650618204559322,0.8825641025641026,47,test,195,,,105
50,scifact,,21.462528736689517,rrf,0.6545787545787546,0.6932738824598952,0.9441025641025641,47,test,195,,,105
50,scifact,,21.462528736689517,zscore_fusion,0.6801912901912901,0.7122046609201599,0.938974358974359,47,test,195,,,105
50,scifact,,21.462528736689517,minmax_fusion,0.6777269027269027,0.7080931543200476,0.9235897435897436,47,test,195,,,105
50,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6801912901912901,0.7122046609201599,0.938974358974359,47,test,195,0.6645616024187453,0.6998655158657336,105
50,scifact,,5.8914951966774725,bm25,0.612903947903948,0.6490266366394436,0.8635897435897436,73,test,195,,,105
50,scifact,,15.571033540012044,dense,0.5745909645909646,0.6146213928715087,0.8748717948717949,73,test,195,,,105
50,scifact,,21.462528736689517,rrf,0.6216157916157916,0.6691074442692334,0.9338461538461538,73,test,195,,,105
50,scifact,,21.462528736689517,zscore_fusion,0.6483251933251933,0.6895735130567867,0.9287179487179487,73,test,195,,,105
50,scifact,,21.462528736689517,minmax_fusion,0.6442144892144892,0.6828101532603467,0.903076923076923,73,test,195,,,105
50,scifact,0.5,21.462528736689517,validation_weighted_fusion,0.6483251933251933,0.6895735130567867,0.9287179487179487,73,test,195,0.7237414965986395,0.741894790469141,105
50,scifact,,5.8914951966774725,bm25,0.6305331705331706,0.6574570782604745,0.8575213675213675,109,test,195,,,105
50,scifact,,15.571033540012044,dense,0.5972059422059423,0.6367495721575601,0.8923076923076924,109,test,195,,,105
50,scifact,,21.462528736689517,rrf,0.6357895807895808,0.6779414997254141,0.9282051282051282,109,test,195,,,105
50,scifact,,21.462528736689517,zscore_fusion,0.6666096866096866,0.6967583641630137,0.9230769230769231,109,test,195,,,105
50,scifact,,21.462528736689517,minmax_fusion,0.6613024013024013,0.6941186729085868,0.9128205128205128,109,test,195,,,105
